,loss,accuracy,val_loss,val_accuracy
0,0.26204168796539307,0.9266536831855774,0.31015270948410034,0.8956884741783142
1,0.1588008552789688,0.9616019129753113,0.2680307626724243,0.8915159702301025
2,0.13859353959560394,0.9689515233039856,0.5370222330093384,0.7858136296272278
3,0.12627866864204407,0.9710514545440674,0.5361486077308655,0.8122392296791077
4,0.11479891836643219,0.9739013314247131,0.5353347063064575,0.6620305776596069
5,0.10336583107709885,0.9764511585235596,0.5016565918922424,0.830319881439209
6,0.10170237720012665,0.9763011932373047,0.4213173985481262,0.8581362962722778
7,0.09763127565383911,0.9755512475967407,0.2101520150899887,0.9151599407196045
8,0.0927768275141716,0.9769011735916138,0.3556675910949707,0.8998609185218811
9,0.0813177227973938,0.9788510799407959,0.5178966522216797,0.8789986371994019
