Subject,Folder,Image,CDF,MaxCDF,MeanCDF,Onset,Offset
sub01,EP02_01f,img65.jpg,44.64676294,44.64676294,16.23498796,46,86
sub01,EP02_01f,img97.jpg,21.61483119,44.64676294,16.23498796,46,86
sub01,EP02_01f,img129.jpg,0,44.64676294,16.23498796,46,86
sub01,EP02_01f,img161.jpg,0,44.64676294,16.23498796,46,86
sub01,EP02_01f,img193.jpg,8.251117693,44.64676294,16.23498796,46,86
sub01,EP02_01f,img225.jpg,22.89721595,44.64676294,16.23498796,46,86
sub01,EP03_02,img65.jpg,0,25.43518675,10.2743601,131,161
sub01,EP03_02,img97.jpg,0,25.43518675,10.2743601,131,161
sub01,EP03_02,img129.jpg,15.66225366,25.43518675,10.2743601,131,161
sub01,EP03_02,img161.jpg,25.43518675,25.43518675,10.2743601,131,161
sub01,EP04_02,img65.jpg,0,19.24884211,7.856208755,21,76
sub01,EP04_02,img97.jpg,19.24884211,19.24884211,7.856208755,21,76
sub01,EP04_02,img129.jpg,4.319784151,19.24884211,7.856208755,21,76
sub01,EP04_04,img65.jpg,0,19.24884211,6.184668817,23,66
sub01,EP04_04,img97.jpg,19.24884211,19.24884211,6.184668817,23,66
sub01,EP04_04,img129.jpg,4.319784151,19.24884211,6.184668817,23,66
sub01,EP04_04,img161.jpg,1.170049004,19.24884211,6.184668817,23,66
sub01,EP19_01,img65.jpg,0,0,0,26,66
sub01,EP19_01,img97.jpg,0,0,0,26,66
sub01,EP19_03f,img65.jpg,1.46039069,78.70390899,20.39698018,81,161
sub01,EP19_03f,img97.jpg,0,78.70390899,20.39698018,81,161
sub01,EP19_03f,img129.jpg,34.93493214,78.70390899,20.39698018,81,161
sub01,EP19_03f,img161.jpg,41.41654273,78.70390899,20.39698018,81,161
sub01,EP19_03f,img193.jpg,0,78.70390899,20.39698018,81,161
sub01,EP19_03f,img225.jpg,0,78.70390899,20.39698018,81,161
sub01,EP19_03f,img257.jpg,78.70390899,78.70390899,20.39698018,81,161
sub01,EP19_03f,img289.jpg,0,78.70390899,20.39698018,81,161
sub01,EP19_03f,img321.jpg,27.05704708,78.70390899,20.39698018,81,161
sub01,EP19_05f,img65.jpg,0,99.47571491,22.07114653,396,446
sub01,EP19_05f,img97.jpg,91.29564582,99.47571491,22.07114653,396,446
sub01,EP19_05f,img129.jpg,0,99.47571491,22.07114653,396,446
sub01,EP19_05f,img161.jpg,13.81344942,99.47571491,22.07114653,396,446
sub01,EP19_05f,img193.jpg,0,99.47571491,22.07114653,396,446
sub01,EP19_05f,img225.jpg,0,99.47571491,22.07114653,396,446
sub01,EP19_05f,img257.jpg,26.63224604,99.47571491,22.07114653,396,446
sub01,EP19_05f,img289.jpg,0,99.47571491,22.07114653,396,446
sub01,EP19_05f,img321.jpg,99.47571491,99.47571491,22.07114653,396,446
sub01,EP19_05f,img353.jpg,0,99.47571491,22.07114653,396,446
sub01,EP19_05f,img385.jpg,0,99.47571491,22.07114653,396,446
sub01,EP19_05f,img417.jpg,28.65704906,99.47571491,22.07114653,396,446
sub01,EP19_05f,img449.jpg,1.214304942,99.47571491,22.07114653,396,446
sub01,EP19_05f,img481.jpg,0,99.47571491,22.07114653,396,446
sub01,EP19_05f,img513.jpg,69.97878775,99.47571491,22.07114653,396,446
sub01,EP19_06f,img65.jpg,18.24925113,56.90111017,17.00776092,36,161
sub01,EP19_06f,img97.jpg,0,56.90111017,17.00776092,36,161
sub01,EP19_06f,img129.jpg,56.90111017,56.90111017,17.00776092,36,161
sub01,EP19_06f,img161.jpg,12.90134236,56.90111017,17.00776092,36,161
sub01,EP19_06f,img193.jpg,0,56.90111017,17.00776092,36,161
sub01,EP19_06f,img225.jpg,13.99486187,56.90111017,17.00776092,36,161
sub02,EP01_11f,img65.jpg,2.357057542,2.357057542,2.357057542,46,96
sub02,EP02_04f,img65.jpg,0,0,0,31,141
sub02,EP03_02f,img65.jpg,0,0,0,16,136
sub02,EP03_02f,img97.jpg,0,0,0,16,136
sub02,EP06_01f,img65.jpg,103.6645991,103.6645991,51.83229954,56,155
sub02,EP06_01f,img97.jpg,0,103.6645991,51.83229954,56,155
sub02,EP08_04,img65.jpg,0,34.33482846,17.16741423,16,106
sub02,EP08_04,img97.jpg,34.33482846,34.33482846,17.16741423,16,106
sub02,EP09_01,img65.jpg,24.40459946,24.40459946,6.375822264,26,125
sub02,EP09_01,img97.jpg,0,24.40459946,6.375822264,26,125
sub02,EP09_01,img129.jpg,0,24.40459946,6.375822264,26,125
sub02,EP09_01,img161.jpg,1.098689598,24.40459946,6.375822264,26,125
sub02,EP09_06f,img65.jpg,0,40.45783222,14.63613883,11,151
sub02,EP09_06f,img97.jpg,40.45783222,40.45783222,14.63613883,11,151
sub02,EP09_06f,img129.jpg,0,40.45783222,14.63613883,11,151
sub02,EP09_06f,img161.jpg,0,40.45783222,14.63613883,11,151
sub02,EP09_06f,img193.jpg,38.69118449,40.45783222,14.63613883,11,151
sub02,EP09_06f,img225.jpg,0,40.45783222,14.63613883,11,151
sub02,EP09_06f,img257.jpg,0,40.45783222,14.63613883,11,151
sub02,EP09_06f,img289.jpg,37.94009393,40.45783222,14.63613883,11,151
sub02,EP11_01,img65.jpg,68.62399054,68.62399054,13.55003104,16,106
sub02,EP11_01,img97.jpg,0,68.62399054,13.55003104,16,106
sub02,EP11_01,img129.jpg,8.133955066,68.62399054,13.55003104,16,106
sub02,EP11_01,img161.jpg,12.64247695,68.62399054,13.55003104,16,106
sub02,EP11_01,img193.jpg,0,68.62399054,13.55003104,16,106
sub02,EP11_01,img225.jpg,0,68.62399054,13.55003104,16,106
sub02,EP11_01,img257.jpg,16.75249464,68.62399054,13.55003104,16,106
sub02,EP11_01,img289.jpg,2.24733116,68.62399054,13.55003104,16,106
sub02,EP13_04,img65.jpg,0,0,0,21,76
sub02,EP14_01,img65.jpg,0,83.61798077,27.87266026,81,126
sub02,EP14_01,img97.jpg,83.61798077,83.61798077,27.87266026,81,126
sub02,EP14_01,img129.jpg,0,83.61798077,27.87266026,81,126
sub02,EP15_04,img65.jpg,6.363973393,9.342499099,7.853236246,26,96
sub02,EP15_04,img97.jpg,9.342499099,9.342499099,7.853236246,26,96
sub03,EP07_04,img65.jpg,30.76711881,30.76711881,30.76711881,21,106
sub03,EP09_03,img65.jpg,0,0,0,61,121
sub03,EP18_06,img65.jpg,8.566350844,8.566350844,8.566350844,26,126
sub03,EP19_08,img65.jpg,0,82.05212961,23.49837826,101,141
sub03,EP19_08,img97.jpg,0,82.05212961,23.49837826,101,141
sub03,EP19_08,img129.jpg,58.93813995,82.05212961,23.49837826,101,141
sub03,EP19_08,img161.jpg,0,82.05212961,23.49837826,101,141
sub03,EP19_08,img193.jpg,0,82.05212961,23.49837826,101,141
sub03,EP19_08,img225.jpg,82.05212961,82.05212961,23.49837826,101,141
sub04,EP12_01f,img65.jpg,0,65.7624003,16.24459727,261,321
sub04,EP12_01f,img97.jpg,43.28811113,65.7624003,16.24459727,261,321
sub04,EP12_01f,img129.jpg,0,65.7624003,16.24459727,261,321
sub04,EP12_01f,img161.jpg,0,65.7624003,16.24459727,261,321
sub04,EP12_01f,img193.jpg,12.85185489,65.7624003,16.24459727,261,321
sub04,EP12_01f,img225.jpg,48.61410721,65.7624003,16.24459727,261,321
sub04,EP12_01f,img257.jpg,0,65.7624003,16.24459727,261,321
sub04,EP12_01f,img289.jpg,41.89920696,65.7624003,16.24459727,261,321
sub04,EP12_01f,img321.jpg,0,65.7624003,16.24459727,261,321
sub04,EP12_01f,img353.jpg,7.47994476,65.7624003,16.24459727,261,321
sub04,EP12_01f,img385.jpg,0,65.7624003,16.24459727,261,321
sub04,EP12_01f,img417.jpg,39.13210375,65.7624003,16.24459727,261,321
sub04,EP12_01f,img449.jpg,3.200372017,65.7624003,16.24459727,261,321
sub04,EP12_01f,img481.jpg,21.79788565,65.7624003,16.24459727,261,321
sub04,EP12_01f,img513.jpg,0,65.7624003,16.24459727,261,321
sub04,EP12_01f,img545.jpg,0,65.7624003,16.24459727,261,321
sub04,EP12_01f,img577.jpg,32.11896464,65.7624003,16.24459727,261,321
sub04,EP12_01f,img609.jpg,0,65.7624003,16.24459727,261,321
sub04,EP12_01f,img641.jpg,65.7624003,65.7624003,16.24459727,261,321
sub04,EP12_01f,img673.jpg,0,65.7624003,16.24459727,261,321
sub04,EP12_01f,img705.jpg,24.99159141,65.7624003,16.24459727,261,321
sub04,EP12_02f,img65.jpg,0,56.7823323,17.27064128,356,406
sub04,EP12_02f,img97.jpg,45.8587668,56.7823323,17.27064128,356,406
sub04,EP12_02f,img129.jpg,10.32344971,56.7823323,17.27064128,356,406
sub04,EP12_02f,img161.jpg,2.863513733,56.7823323,17.27064128,356,406
