Subject,Folder,Number,Conf,Label,GT
sub21,EP05_02,0,0.001373209,0,0
sub21,EP05_02,1,0.001373209,0,0
sub21,EP05_02,2,0.001373209,0,0
sub21,EP05_02,3,0.001373209,0,0
sub21,EP05_02,4,0.001373209,0,0
sub21,EP05_02,5,0.001373209,0,0
sub21,EP05_02,6,0.001373209,0,0
sub21,EP05_02,7,0.001373209,0,0
sub21,EP05_02,8,0.001373209,0,0
sub21,EP05_02,9,0.001373209,0,0
sub21,EP05_02,10,0.001373209,0,0
sub21,EP05_02,11,0.001373209,0,0
sub21,EP05_02,12,0.002202823,0,0
sub21,EP05_02,13,0.002202823,0,0
sub21,EP05_02,14,0.002202823,0,0
sub21,EP05_02,15,0.002202823,0,0
sub21,EP05_02,16,0.002202823,0,0
sub21,EP05_02,17,0.002202823,0,0
sub21,EP05_02,18,0.002202823,0,0
sub21,EP05_02,19,0.002202823,0,0
sub21,EP05_02,20,0.002202823,0,0
sub21,EP05_02,21,0.002202823,0,0
sub21,EP05_02,22,0.002202823,0,0
sub21,EP05_02,23,0.002202823,0,0
sub21,EP05_02,24,0.003181969,0,0
sub21,EP05_02,25,0.003181969,0,0
sub21,EP05_02,26,0.003181969,0,0
sub21,EP05_02,27,0.003181969,0,0
sub21,EP05_02,28,0.003181969,0,0
sub21,EP05_02,29,0.003181969,0,0
sub21,EP05_02,30,0.003181969,0,0
sub21,EP05_02,31,0.003181969,0,0
sub21,EP05_02,32,0.003181969,0,0
sub21,EP05_02,33,0.003181969,0,0
sub21,EP05_02,34,0.003181969,0,0
sub21,EP05_02,35,0.003181969,0,0
sub21,EP05_02,36,0.001394049,0,0
sub21,EP05_02,37,0.001394049,0,0
sub21,EP05_02,38,0.001394049,0,0
sub21,EP05_02,39,0.001394049,0,0
sub21,EP05_02,40,0.001394049,0,0
sub21,EP05_02,41,0.001394049,0,0
sub21,EP05_02,42,0.001394049,0,0
sub21,EP05_02,43,0.001394049,0,0
sub21,EP05_02,44,0.001394049,0,0
sub21,EP05_02,45,0.001394049,0,0
sub21,EP05_02,46,0.001394049,0,0
sub21,EP05_02,47,0.001394049,0,0
sub21,EP05_02,48,0.00164314,0,0
sub21,EP05_02,49,0.00164314,0,0
sub21,EP05_02,50,0.00164314,0,0
sub21,EP05_02,51,0.00164314,0,0
sub21,EP05_02,52,0.00164314,0,0
sub21,EP05_02,53,0.00164314,0,0
sub21,EP05_02,54,0.00164314,0,0
sub21,EP05_02,55,0.00164314,0,0
sub21,EP05_02,56,0.00164314,0,0
sub21,EP05_02,57,0.00164314,0,0
sub21,EP05_02,58,0.00164314,0,0
sub21,EP05_02,59,0.00164314,0,0
sub21,EP05_02,60,0.001803561,0,0
sub21,EP05_02,61,0.001803561,0,0
sub21,EP05_02,62,0.001803561,0,0
sub21,EP05_02,63,0.001803561,0,0
sub21,EP05_02,64,0.001803561,0,0
sub21,EP05_02,65,0.001803561,0,0
sub21,EP05_02,66,0.001803561,0,0
sub21,EP05_02,67,0.001803561,0,0
sub21,EP05_02,68,0.001803561,0,0
sub21,EP05_02,69,0.001803561,0,0
sub21,EP05_02,70,0.001803561,0,0
sub21,EP05_02,71,0.001803561,0,0
sub21,EP05_02,72,0.002026687,0,0
sub21,EP05_02,73,0.002026687,0,0
sub21,EP05_02,74,0.002026687,0,0
sub21,EP05_02,75,0.002026687,0,0
sub21,EP05_02,76,0.002026687,0,0
sub21,EP05_02,77,0.002026687,0,0
sub21,EP05_02,78,0.002026687,0,0
sub21,EP05_02,79,0.002026687,0,0
sub21,EP05_02,80,0.002026687,0,0
sub21,EP05_02,81,0.002026687,0,0
sub21,EP05_02,82,0.002026687,0,0
sub21,EP05_02,83,0.002026687,0,0
sub21,EP05_02,84,0.002233902,0,0
sub21,EP05_02,85,0.002233902,0,0
sub21,EP05_02,86,0.002233902,0,0
sub21,EP05_02,87,0.002233902,0,0
sub21,EP05_02,88,0.002233902,0,0
