Subject,Folder,Number,Label,GT
sub01,EP02_01f,0,0,0
sub01,EP02_01f,1,0,0
sub01,EP02_01f,2,0,0
sub01,EP02_01f,3,0,0
sub01,EP02_01f,4,0,0
sub01,EP02_01f,5,0,0
sub01,EP02_01f,6,0,0
sub01,EP02_01f,7,0,0
sub01,EP02_01f,8,0,0
sub01,EP02_01f,9,0,0
sub01,EP02_01f,10,0,0
sub01,EP02_01f,11,0,0
sub01,EP02_01f,12,0,0
sub01,EP02_01f,13,0,0
sub01,EP02_01f,14,0,0
sub01,EP02_01f,15,0,0
sub01,EP02_01f,16,0,0
sub01,EP02_01f,17,0,0
sub01,EP02_01f,18,0,0
sub01,EP02_01f,19,0,0
sub01,EP02_01f,20,0,0
sub01,EP02_01f,21,0,0
sub01,EP02_01f,22,0,0
sub01,EP02_01f,23,0,0
sub01,EP02_01f,24,0,0
sub01,EP02_01f,25,0,0
sub01,EP02_01f,26,0,0
sub01,EP02_01f,27,0,0
sub01,EP02_01f,28,0,0
sub01,EP02_01f,29,0,0
sub01,EP02_01f,30,0,0
sub01,EP02_01f,31,0,0
sub01,EP02_01f,32,0,0
sub01,EP02_01f,33,1,0
sub01,EP02_01f,34,1,0
sub01,EP02_01f,35,1,0
sub01,EP02_01f,36,1,0
sub01,EP02_01f,37,1,0
sub01,EP02_01f,38,1,0
sub01,EP02_01f,39,1,0
sub01,EP02_01f,40,1,0
sub01,EP02_01f,41,1,0
sub01,EP02_01f,42,1,0
sub01,EP02_01f,43,1,0
sub01,EP02_01f,44,1,0
sub01,EP02_01f,45,1,0
sub01,EP02_01f,46,1,1
sub01,EP02_01f,47,1,1
sub01,EP02_01f,48,1,1
sub01,EP02_01f,49,1,1
sub01,EP02_01f,50,1,1
sub01,EP02_01f,51,1,1
sub01,EP02_01f,52,1,1
sub01,EP02_01f,53,1,1
sub01,EP02_01f,54,1,1
sub01,EP02_01f,55,1,1
sub01,EP02_01f,56,1,1
sub01,EP02_01f,57,1,1
sub01,EP02_01f,58,1,1
sub01,EP02_01f,59,1,1
sub01,EP02_01f,60,1,1
sub01,EP02_01f,61,1,1
sub01,EP02_01f,62,1,1
sub01,EP02_01f,63,1,1
sub01,EP02_01f,64,1,1
sub01,EP02_01f,65,1,1
sub01,EP02_01f,66,1,1
sub01,EP02_01f,67,1,1
sub01,EP02_01f,68,1,1
sub01,EP02_01f,69,1,1
sub01,EP02_01f,70,1,1
sub01,EP02_01f,71,1,1
sub01,EP02_01f,72,1,1
sub01,EP02_01f,73,1,1
sub01,EP02_01f,74,1,1
sub01,EP02_01f,75,1,1
sub01,EP02_01f,76,1,1
sub01,EP02_01f,77,1,1
sub01,EP02_01f,78,1,1
sub01,EP02_01f,79,1,1
sub01,EP02_01f,80,1,1
sub01,EP02_01f,81,1,1
sub01,EP02_01f,82,1,1
sub01,EP02_01f,83,1,1
sub01,EP02_01f,84,1,1
sub01,EP02_01f,85,1,1
sub01,EP02_01f,86,1,1
sub01,EP02_01f,87,1,0
sub01,EP02_01f,88,1,0
sub01,EP02_01f,89,1,0
sub01,EP02_01f,90,1,0
sub01,EP02_01f,91,1,0
sub01,EP02_01f,92,1,0
sub01,EP02_01f,93,1,0
sub01,EP02_01f,94,1,0
sub01,EP02_01f,95,1,0
sub01,EP02_01f,96,1,0
sub01,EP02_01f,97,1,0
sub01,EP02_01f,98,1,0
sub01,EP02_01f,99,1,0
sub01,EP02_01f,100,1,0
sub01,EP02_01f,101,1,0
sub01,EP02_01f,102,1,0
sub01,EP02_01f,103,1,0
sub01,EP02_01f,104,1,0
sub01,EP02_01f,105,1,0
sub01,EP02_01f,106,1,0
sub01,EP02_01f,107,1,0
sub01,EP02_01f,108,1,0
sub01,EP02_01f,109,1,0
sub01,EP02_01f,110,1,0
sub01,EP02_01f,111,1,0
sub01,EP02_01f,112,1,0
sub01,EP02_01f,113,1,0
sub01,EP02_01f,114,1,0
sub01,EP02_01f,115,1,0
sub01,EP02_01f,116,1,0
sub01,EP02_01f,117,1,0
sub01,EP02_01f,118,1,0
sub01,EP02_01f,119,1,0
sub01,EP02_01f,120,1,0
sub01,EP02_01f,121,1,0
sub01,EP02_01f,122,1,0
sub01,EP02_01f,123,1,0
sub01,EP02_01f,124,1,0
sub01,EP02_01f,125,1,0
sub01,EP02_01f,126,1,0
sub01,EP02_01f,127,1,0
sub01,EP02_01f,128,1,0
sub01,EP02_01f,129,1,0
sub01,EP02_01f,130,0,0
sub01,EP02_01f,131,0,0
sub01,EP02_01f,132,0,0
sub01,EP02_01f,133,0,0
sub01,EP02_01f,134,0,0
sub01,EP02_01f,135,0,0
sub01,EP02_01f,136,0,0
sub01,EP02_01f,137,0,0
sub01,EP02_01f,138,0,0
sub01,EP02_01f,139,0,0
sub01,EP02_01f,140,0,0
sub01,EP02_01f,141,0,0
sub01,EP02_01f,142,0,0
sub01,EP02_01f,143,0,0
sub01,EP02_01f,144,0,0
sub01,EP02_01f,145,0,0
sub01,EP02_01f,146,0,0
sub01,EP02_01f,147,0,0
sub01,EP02_01f,148,0,0
sub01,EP02_01f,149,0,0
sub01,EP02_01f,150,0,0
sub01,EP02_01f,151,0,0
sub01,EP02_01f,152,0,0
sub01,EP02_01f,153,0,0
sub01,EP02_01f,154,0,0
sub01,EP02_01f,155,0,0
sub01,EP02_01f,156,0,0
sub01,EP02_01f,157,0,0
sub01,EP02_01f,158,0,0
sub01,EP02_01f,159,0,0
sub01,EP02_01f,160,0,0
sub01,EP02_01f,161,0,0
sub01,EP02_01f,162,0,0
sub01,EP02_01f,163,0,0
sub01,EP02_01f,164,0,0
sub01,EP02_01f,165,0,0
sub01,EP02_01f,166,0,0
sub01,EP02_01f,167,0,0
sub01,EP02_01f,168,0,0
sub01,EP02_01f,169,0,0
sub01,EP02_01f,170,0,0
sub01,EP02_01f,171,0,0
sub01,EP02_01f,172,0,0
sub01,EP02_01f,173,0,0
sub01,EP02_01f,174,0,0
sub01,EP02_01f,175,0,0
sub01,EP02_01f,176,0,0
sub01,EP02_01f,177,0,0
sub01,EP02_01f,178,0,0
sub01,EP02_01f,179,0,0
sub01,EP02_01f,180,0,0
sub01,EP02_01f,181,0,0
sub01,EP02_01f,182,0,0
sub01,EP02_01f,183,0,0
sub01,EP02_01f,184,0,0
sub01,EP02_01f,185,0,0
sub01,EP02_01f,186,0,0
sub01,EP02_01f,187,0,0
sub01,EP02_01f,188,0,0
sub01,EP02_01f,189,0,0
sub01,EP02_01f,190,0,0
sub01,EP02_01f,191,0,0
sub01,EP02_01f,192,0,0
sub01,EP02_01f,193,1,0
sub01,EP02_01f,194,1,0
sub01,EP02_01f,195,1,0
sub01,EP02_01f,196,1,0
sub01,EP02_01f,197,1,0
sub01,EP02_01f,198,1,0
sub01,EP02_01f,199,1,0
sub01,EP02_01f,200,1,0
sub01,EP02_01f,201,1,0
sub01,EP02_01f,202,1,0
sub01,EP02_01f,203,1,0
sub01,EP02_01f,204,1,0
sub01,EP02_01f,205,1,0
sub01,EP02_01f,206,1,0
sub01,EP02_01f,207,1,0
sub01,EP02_01f,208,1,0
sub01,EP02_01f,209,1,0
sub01,EP02_01f,210,1,0
sub01,EP02_01f,211,1,0
sub01,EP02_01f,212,1,0
sub01,EP02_01f,213,1,0
sub01,EP02_01f,214,1,0
sub01,EP02_01f,215,1,0
sub01,EP02_01f,216,1,0
sub01,EP02_01f,217,1,0
sub01,EP02_01f,218,1,0
sub01,EP02_01f,219,1,0
sub01,EP02_01f,220,1,0
sub01,EP02_01f,221,1,0
sub01,EP02_01f,222,1,0
sub01,EP02_01f,223,1,0
sub01,EP02_01f,224,1,0
sub01,EP02_01f,225,1,0
sub01,EP02_01f,226,1,0
sub01,EP02_01f,227,1,0
sub01,EP02_01f,228,1,0
sub01,EP02_01f,229,1,0
sub01,EP02_01f,230,1,0
sub01,EP02_01f,231,1,0
sub01,EP02_01f,232,1,0
sub01,EP02_01f,233,1,0
sub01,EP02_01f,234,1,0
sub01,EP02_01f,235,1,0
sub01,EP02_01f,236,1,0
sub01,EP02_01f,237,1,0
sub01,EP02_01f,238,1,0
sub01,EP02_01f,239,1,0
sub01,EP02_01f,240,1,0
sub01,EP02_01f,241,1,0
sub01,EP02_01f,242,1,0
sub01,EP02_01f,243,1,0
sub01,EP02_01f,244,1,0
sub01,EP02_01f,245,1,0
sub01,EP02_01f,246,1,0
sub01,EP02_01f,247,1,0
sub01,EP02_01f,248,1,0
sub01,EP02_01f,249,1,0
sub01,EP02_01f,250,1,0
sub01,EP02_01f,251,1,0
sub01,EP02_01f,252,1,0
sub01,EP02_01f,253,1,0
sub01,EP02_01f,254,1,0
sub01,EP02_01f,255,1,0
sub01,EP02_01f,256,1,0
sub01,EP02_01f,257,1,0
sub01,EP02_01f,258,0,0
sub01,EP02_01f,259,0,0
sub01,EP02_01f,260,0,0
sub01,EP02_01f,261,0,0
sub01,EP02_01f,262,0,0
sub01,EP02_01f,263,0,0
sub01,EP02_01f,264,0,0
sub01,EP02_01f,265,0,0
sub01,EP02_01f,266,0,0
sub01,EP02_01f,267,0,0
sub01,EP02_01f,268,0,0
sub01,EP02_01f,269,0,0
sub01,EP02_01f,270,0,0
sub01,EP02_01f,271,0,0
sub01,EP02_01f,272,0,0
sub01,EP02_01f,273,0,0
sub01,EP02_01f,274,0,0
sub01,EP02_01f,275,0,0
sub01,EP02_01f,276,0,0
sub01,EP02_01f,277,0,0
sub01,EP02_01f,278,0,0
sub01,EP02_01f,279,0,0
sub01,EP02_01f,280,0,0
sub01,EP02_01f,281,0,0
sub01,EP02_01f,282,0,0
sub01,EP02_01f,283,0,0
sub01,EP02_01f,284,0,0
sub01,EP02_01f,285,0,0
sub01,EP02_01f,286,0,0
sub01,EP02_01f,287,0,0
sub01,EP02_01f,288,0,0
sub01,EP02_01f,289,0,0
sub01,EP03_02,0,0,0
sub01,EP03_02,1,0,0
sub01,EP03_02,2,0,0
sub01,EP03_02,3,0,0
sub01,EP03_02,4,0,0
sub01,EP03_02,5,0,0
sub01,EP03_02,6,0,0
sub01,EP03_02,7,0,0
sub01,EP03_02,8,0,0
sub01,EP03_02,9,0,0
sub01,EP03_02,10,0,0
sub01,EP03_02,11,0,0
sub01,EP03_02,12,0,0
sub01,EP03_02,13,0,0
sub01,EP03_02,14,0,0
sub01,EP03_02,15,0,0
sub01,EP03_02,16,0,0
sub01,EP03_02,17,0,0
sub01,EP03_02,18,0,0
sub01,EP03_02,19,0,0
sub01,EP03_02,20,0,0
sub01,EP03_02,21,0,0
sub01,EP03_02,22,0,0
sub01,EP03_02,23,0,0
sub01,EP03_02,24,0,0
sub01,EP03_02,25,0,0
sub01,EP03_02,26,0,0
sub01,EP03_02,27,0,0
sub01,EP03_02,28,0,0
sub01,EP03_02,29,0,0
sub01,EP03_02,30,0,0
sub01,EP03_02,31,0,0
sub01,EP03_02,32,0,0
sub01,EP03_02,33,0,0
sub01,EP03_02,34,0,0
sub01,EP03_02,35,0,0
sub01,EP03_02,36,0,0
sub01,EP03_02,37,0,0
