Subject,Folder,Number,Conf,Label,GT
sub01,EP02_01f,0,0.006576665,0,0
sub01,EP02_01f,1,0.006576665,0,0
sub01,EP02_01f,2,0.006576665,0,0
sub01,EP02_01f,3,0.006576665,0,0
sub01,EP02_01f,4,0.006576665,0,0
sub01,EP02_01f,5,0.006576665,0,0
sub01,EP02_01f,6,0.006576665,0,0
sub01,EP02_01f,7,0.006576665,0,0
sub01,EP02_01f,8,0.006576665,0,0
sub01,EP02_01f,9,0.006576665,0,0
sub01,EP02_01f,10,0.006576665,0,0
sub01,EP02_01f,11,0.006576665,0,0
sub01,EP02_01f,12,0.001351082,0,0
sub01,EP02_01f,13,0.001351082,0,0
sub01,EP02_01f,14,0.001351082,0,0
sub01,EP02_01f,15,0.001351082,0,0
sub01,EP02_01f,16,0.001351082,0,0
sub01,EP02_01f,17,0.001351082,0,0
sub01,EP02_01f,18,0.001351082,0,0
sub01,EP02_01f,19,0.001351082,0,0
sub01,EP02_01f,20,0.001351082,0,0
sub01,EP02_01f,21,0.001351082,0,0
sub01,EP02_01f,22,0.001351082,0,0
sub01,EP02_01f,23,0.001351082,0,0
sub01,EP02_01f,24,0.89913106,1,0
sub01,EP02_01f,25,0.89913106,1,0
sub01,EP02_01f,26,0.89913106,1,0
sub01,EP02_01f,27,0.89913106,1,0
sub01,EP02_01f,28,0.89913106,1,0
sub01,EP02_01f,29,0.89913106,1,0
sub01,EP02_01f,30,0.89913106,1,0
sub01,EP02_01f,31,0.89913106,1,0
sub01,EP02_01f,32,0.89913106,1,0
sub01,EP02_01f,33,0.89913106,1,0
sub01,EP02_01f,34,0.89913106,1,0
sub01,EP02_01f,35,0.89913106,1,0
sub01,EP02_01f,36,0.001373752,0,0
sub01,EP02_01f,37,0.001373752,0,0
sub01,EP02_01f,38,0.001373752,0,0
sub01,EP02_01f,39,0.001373752,0,0
sub01,EP02_01f,40,0.001373752,0,0
sub01,EP02_01f,41,0.001373752,0,0
sub01,EP02_01f,42,0.001373752,0,0
sub01,EP02_01f,43,0.001373752,0,0
sub01,EP02_01f,44,0.001373752,0,0
sub01,EP02_01f,45,0.001373752,0,0
sub01,EP02_01f,46,0.001373752,0,1
sub01,EP02_01f,47,0.001373752,0,1
sub01,EP02_01f,48,0.135357022,0,1
sub01,EP02_01f,49,0.135357022,0,1
sub01,EP02_01f,50,0.135357022,0,1
sub01,EP02_01f,51,0.135357022,0,1
sub01,EP02_01f,52,0.135357022,0,1
sub01,EP02_01f,53,0.135357022,0,1
sub01,EP02_01f,54,0.135357022,0,1
sub01,EP02_01f,55,0.135357022,0,1
sub01,EP02_01f,56,0.135357022,0,1
sub01,EP02_01f,57,0.135357022,0,1
sub01,EP02_01f,58,0.135357022,0,1
sub01,EP02_01f,59,0.135357022,0,1
sub01,EP02_01f,60,0.384540141,0,1
sub01,EP02_01f,61,0.384540141,0,1
sub01,EP02_01f,62,0.384540141,0,1
sub01,EP02_01f,63,0.384540141,0,1
sub01,EP02_01f,64,0.384540141,0,1
sub01,EP02_01f,65,0.384540141,0,1
sub01,EP02_01f,66,0.384540141,0,1
sub01,EP02_01f,67,0.384540141,0,1
sub01,EP02_01f,68,0.384540141,0,1
sub01,EP02_01f,69,0.384540141,0,1
sub01,EP02_01f,70,0.384540141,0,1
sub01,EP02_01f,71,0.384540141,0,1
sub01,EP02_01f,72,0.004737385,0,1
sub01,EP02_01f,73,0.004737385,0,1
sub01,EP02_01f,74,0.004737385,0,1
sub01,EP02_01f,75,0.004737385,0,1
sub01,EP02_01f,76,0.004737385,0,1
sub01,EP02_01f,77,0.004737385,0,1
sub01,EP02_01f,78,0.004737385,0,1
sub01,EP02_01f,79,0.004737385,0,1
sub01,EP02_01f,80,0.004737385,0,1
sub01,EP02_01f,81,0.004737385,0,1
sub01,EP02_01f,82,0.004737385,0,1
sub01,EP02_01f,83,0.004737385,0,1
sub01,EP02_01f,84,0.001389277,0,1
sub01,EP02_01f,85,0.001389277,0,1
sub01,EP02_01f,86,0.001389277,0,1
sub01,EP02_01f,87,0.001389277,0,0
sub01,EP02_01f,88,0.001389277,0,0
sub01,EP02_01f,89,0.001389277,0,0
sub01,EP02_01f,90,0.001389277,0,0
sub01,EP02_01f,91,0.001389277,0,0
sub01,EP02_01f,92,0.001389277,0,0
sub01,EP02_01f,93,0.001389277,0,0
sub01,EP02_01f,94,0.001389277,0,0
sub01,EP02_01f,95,0.001389277,0,0
sub01,EP02_01f,96,0.006945844,0,0
sub01,EP02_01f,97,0.006945844,0,0
sub01,EP02_01f,98,0.006945844,0,0
