1,2,3,4,5,6,7,8,9,10,11,12,Negative,Positive
D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00005.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00006.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00007.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00008.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00009.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00010.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00011.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00012.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00013.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00014.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00015.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00016.jpg,5,7
D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00048.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00049.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00050.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00051.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00052.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00053.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00054.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00055.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00056.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00057.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00058.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00059.jpg,5,7
D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00078.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00079.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00080.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00081.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00082.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00083.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00084.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00085.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00086.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00087.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00088.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00089.jpg,5,7
D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00094.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00095.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00096.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00097.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00098.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00099.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00100.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00101.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00102.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00103.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00104.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00105.jpg,5,7
D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00122.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00123.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00124.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00125.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00126.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00127.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00128.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00129.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00130.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00131.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00132.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00133.jpg,5,7
D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00253.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00254.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00255.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00256.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00257.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00258.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00259.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00260.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00261.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00262.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00263.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00264.jpg,5,7
D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00279.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00280.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00281.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00282.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00283.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00284.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00285.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00286.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00287.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00288.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00289.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00290.jpg,5,7
D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00354.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00355.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00356.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00357.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00358.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00359.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00360.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00361.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00362.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00363.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00364.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00365.jpg,5,7
D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00389.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00390.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00391.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00392.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00393.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00394.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00395.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00396.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00397.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00398.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00399.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00400.jpg,5,7
D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00403.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00404.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00405.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00406.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00407.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00408.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00409.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00410.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00411.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00412.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00413.jpg,D:\Dataset Skripsi Batch Final Image Face Detection\S4\img00414.jpg,5,7
