1, 12, FP, Outside, 1074, 1095
13, 24, FP, Outside, 1074, 1095
25, 36, FP, Outside, 1074, 1095
37, 48, FP, Outside, 1074, 1095
49, 60, FP, Outside, 1074, 1095
61, 72, FP, Outside, 1074, 1095
73, 84, FP, Outside, 1074, 1095
85, 96, FP, Outside, 1074, 1095
97, 108, FP, Outside, 1074, 1095
109, 120, FP, Outside, 1074, 1095
121, 132, TN, Outside, 1074, 1095
133, 144, FP, Outside, 1074, 1095
145, 156, TN, Outside, 1074, 1095
157, 168, FP, Outside, 1074, 1095
169, 180, TN, Outside, 1074, 1095
181, 192, FP, Outside, 1074, 1095
193, 204, FP, Outside, 1074, 1095
205, 216, FP, Outside, 1074, 1095
217, 228, FP, Outside, 1074, 1095
229, 240, FP, Outside, 1074, 1095
241, 252, FP, Outside, 1074, 1095
253, 264, FP, Outside, 1074, 1095
265, 276, FP, Outside, 1074, 1095
277, 288, FP, Outside, 1074, 1095
289, 300, FP, Outside, 1074, 1095
301, 312, TN, Outside, 1074, 1095
313, 324, FP, Outside, 1074, 1095
325, 336, FP, Outside, 1074, 1095
337, 348, FP, Outside, 1074, 1095
349, 360, TP, Inside, 348, 373
361, 372, TP, Inside, 348, 373
373, 384, FP, Outside, 1074, 1095
385, 396, FP, Outside, 1074, 1095
397, 408, FP, Outside, 1074, 1095
409, 420, FP, Outside, 1074, 1095
421, 432, FP, Outside, 1074, 1095
433, 444, FP, Outside, 1074, 1095
445, 456, FP, Outside, 1074, 1095
457, 468, FP, Outside, 1074, 1095
469, 480, FP, Outside, 1074, 1095
481, 492, FP, Outside, 1074, 1095
493, 504, FP, Outside, 1074, 1095
505, 516, FP, Outside, 1074, 1095
517, 528, FP, Outside, 1074, 1095
529, 540, FP, Outside, 1074, 1095
541, 552, FP, Outside, 1074, 1095
553, 564, FP, Outside, 1074, 1095
565, 576, TP, Left Side, 566, 582
577, 588, FP, Right Side, 566, 582
589, 600, FP, Outside, 1074, 1095
601, 612, FP, Outside, 1074, 1095
613, 624, FP, Outside, 1074, 1095
625, 636, FP, Outside, 1074, 1095
637, 648, FP, Outside, 1074, 1095
649, 660, FP, Outside, 1074, 1095
661, 672, FP, Outside, 1074, 1095
673, 684, FP, Outside, 1074, 1095
685, 696, FP, Outside, 1074, 1095
697, 708, FP, Outside, 1074, 1095
709, 720, FP, Outside, 1074, 1095
721, 732, FP, Outside, 1074, 1095
733, 744, FP, Outside, 1074, 1095
745, 756, FP, Outside, 1074, 1095
757, 768, FP, Outside, 1074, 1095
769, 780, FP, Outside, 1074, 1095
781, 792, FP, Outside, 1074, 1095
793, 804, FP, Outside, 1074, 1095
805, 816, FP, Outside, 1074, 1095
817, 828, FP, Outside, 1074, 1095
829, 840, FP, Outside, 1074, 1095
841, 852, FP, Outside, 1074, 1095
853, 864, FP, Outside, 1074, 1095
865, 876, FP, Outside, 1074, 1095
877, 888, FP, Outside, 1074, 1095
889, 900, FP, Outside, 1074, 1095
901, 912, FP, Outside, 1074, 1095
913, 924, TN, Outside, 1074, 1095
925, 936, FP, Outside, 1074, 1095
937, 948, FP, Outside, 1074, 1095
949, 960, FP, Outside, 1074, 1095
961, 972, FP, Outside, 1074, 1095
973, 984, FP, Outside, 1074, 1095
985, 996, FP, Outside, 1074, 1095
997, 1008, FP, Outside, 1074, 1095
1009, 1020, FP, Outside, 1074, 1095
1021, 1032, FP, Outside, 1074, 1095
1033, 1044, TN, Outside, 1074, 1095
1045, 1056, FP, Outside, 1074, 1095
1057, 1068, FP, Outside, 1074, 1095
1069, 1080, FP, Left Side, 1074, 1095
1081, 1092, TP, Inside, 1074, 1095
1093, 1104, FP, Right Side, 1074, 1095
1105, 1116, FP, Outside, 1074, 1095
1117, 1128, FP, Outside, 1074, 1095
1129, 1140, FP, Outside, 1074, 1095
1141, 1152, FP, Outside, 1074, 1095
1153, 1164, FP, Outside, 1074, 1095
1165, 1176, FP, Outside, 1074, 1095
1177, 1188, FP, Outside, 1074, 1095
1189, 1200, FP, Outside, 1074, 1095
1201, 1212, FP, Outside, 1074, 1095
1213, 1224, FP, Outside, 1074, 1095
